start_ip,end_ip,port,action,is_redundant
26785,26919,8443,DENY,0
40655,40677,9200,ALLOW,0
44689,44769,27017,DENY,0
4947,5139,443,DENY,1
18301,18365,27017,ALLOW,1
17456,17598,6443,DENY,1
15639,15788,8443,DENY,0
28420,28601,5000,ALLOW,1
3759,4130,10250,DENY,0
1869,1895,27017,ALLOW,1
19293,19381,1433,ALLOW,1
45140,45159,8080,ALLOW,0
24032,24529,8000,ALLOW,0
10721,10763,9000,DENY,0
47858,48110,80,DENY,1
41265,41341,3389,ALLOW,0
3578,3948,3306,DENY,1
7908,7961,8080,DENY,0
17486,17818,443,ALLOW,0
22226,22348,22,DENY,1
49544,49743,443,DENY,0
56426,56583,3389,ALLOW,0
53298,53456,1433,DENY,1
56965,57004,27017,DENY,0
59035,59071,1433,ALLOW,1
21171,21597,2222,ALLOW,1
16881,16989,5432,DENY,1
6712,7238,3389,ALLOW,0
37317,37566,8000,DENY,1
3796,3957,6443,ALLOW,0
5570,6064,8443,DENY,0
29378,29420,8888,ALLOW,0
32013,32148,6379,DENY,1
11929,11968,22,ALLOW,0
374,463,3306,DENY,1
5525,6307,9200,ALLOW,0
51946,52129,22,DENY,0
26111,26159,8888,DENY,0
9117,9399,8443,DENY,1
41954,42508,27017,ALLOW,0
43730,43925,8080,ALLOW,1
50247,50278,3389,ALLOW,0
17677,17959,1433,ALLOW,0
13766,13950,1433,DENY,1
51741,51789,6379,DENY,1
30733,30787,8888,DENY,0
19108,19278,5000,DENY,0
58482,58717,6443,DENY,1
24157,24320,2379,ALLOW,0
56957,57086,8443,DENY,1
43577,43800,110,DENY,1
16522,16855,25,DENY,0
51066,51272,3306,ALLOW,1
13923,14051,53,ALLOW,1
49835,49890,5432,DENY,1
10862,11237,5000,ALLOW,0
55379,55433,27017,DENY,0
2988,3018,5000,ALLOW,0
12234,12266,8888,ALLOW,0
17907,18148,9200,ALLOW,0
17785,18273,9000,ALLOW,0
21800,21974,6443,ALLOW,0
25146,25536,4443,ALLOW,0
32886,33528,5432,DENY,1
3208,3350,27017,ALLOW,0
46122,46225,4443,DENY,1
19056,19222,443,ALLOW,0
48932,48965,443,DENY,1
7890,8042,5432,DENY,1
26615,26694,8000,DENY,1
3767,4203,4443,DENY,1
26776,26833,6379,ALLOW,0
1923,2369,6443,ALLOW,0
6822,7149,3389,ALLOW,1
2522,2718,3389,DENY,1
2400,2708,1433,DENY,1
5188,5358,8080,DENY,1
48990,49174,9200,ALLOW,1
56304,56764,27017,ALLOW,0
2608,2637,80,ALLOW,1
54256,54422,21,DENY,1
10881,11166,443,ALLOW,0
5100,5118,6443,DENY,0
14012,14363,3389,DENY,0
20084,20158,1433,ALLOW,1
3852,4079,3389,DENY,1
23541,23580,8000,DENY,1
37214,37252,8443,ALLOW,0
12092,12153,5432,ALLOW,0
53919,53998,6379,DENY,1
17424,17513,2222,DENY,0
42708,43109,8443,DENY,1
25372,25471,6379,ALLOW,1
51631,52005,8443,ALLOW,0
17390,17484,3306,ALLOW,1
57044,57232,443,DENY,1
44903,45058,8443,DENY,0
7146,7295,25,ALLOW,0
34668,34987,3389,ALLOW,0
19812,19851,5432,ALLOW,0
20263,20374,6443,DENY,0
52477,52778,80,DENY,1
1522,2110,8080,DENY,1
50338,50366,110,ALLOW,0
14784,15392,2379,ALLOW,1
28881,29037,9000,ALLOW,1
21039,21459,9200,DENY,1
24364,24488,3306,ALLOW,0
57724,58067,1433,DENY,1
33134,33434,21,ALLOW,0
58949,58968,25,DENY,1
52670,52684,53,DENY,0
29095,29618,8000,DENY,1
19528,19599,9000,ALLOW,0
49842,49918,5432,ALLOW,0
26455,26606,443,ALLOW,0
22111,22338,27017,ALLOW,0
28217,28317,3306,ALLOW,1
15069,15119,2222,DENY,1
50151,50193,2379,ALLOW,1
25550,25653,2379,ALLOW,0
39869,39912,3306,ALLOW,0
38460,38556,5000,DENY,0
32448,33107,110,ALLOW,1
52677,52764,8000,ALLOW,1
52805,52935,2379,DENY,1
40450,40613,2379,ALLOW,1
43510,43520,8080,ALLOW,1
14784,15394,2379,DENY,1
30595,30666,443,ALLOW,0
44929,45268,10250,ALLOW,0
17323,17418,3389,DENY,0
17149,17211,8000,ALLOW,1
5574,5640,2222,DENY,0
46578,46619,9200,DENY,0
39078,39549,110,ALLOW,0
49934,50317,53,ALLOW,0
24237,24371,6443,DENY,1
12671,12830,8080,ALLOW,1
13484,13673,6379,ALLOW,0
18983,19378,27017,ALLOW,1
19809,19952,2222,ALLOW,0
12827,12896,110,ALLOW,0
6870,6957,5000,ALLOW,1
2789,2801,25,ALLOW,0
4886,4988,110,ALLOW,0
28625,28969,6379,ALLOW,1
55827,55837,27017,DENY,0
51736,52186,27017,DENY,1
33887,34351,8000,DENY,1
11061,11521,4443,ALLOW,0
27004,27159,8888,DENY,1
20261,20438,25,ALLOW,0
35048,35086,5000,DENY,0
13718,14107,9200,ALLOW,0
18887,19037,6443,DENY,0
11446,11735,80,ALLOW,0
10925,10980,9000,DENY,0
38920,39490,6379,ALLOW,1
20000,20015,2379,ALLOW,0
2276,2303,8888,DENY,0
4675,4723,9200,DENY,1
38689,38755,9200,ALLOW,1
20457,20492,2222,DENY,1
41098,41224,110,DENY,1
18103,18141,443,DENY,0
31444,31526,2222,ALLOW,0
51282,51673,6379,DENY,0
4952,5009,6443,DENY,1
10705,10751,8080,ALLOW,0
57353,57480,2379,DENY,0
6779,6939,8080,ALLOW,0
22469,22515,1433,DENY,1
6211,6334,8000,ALLOW,0
31218,31386,4443,ALLOW,1
31745,31876,3389,ALLOW,1
2469,2577,21,DENY,1
56268,56457,27017,ALLOW,1
41201,41245,8000,ALLOW,0
44152,44189,8080,ALLOW,0
51248,51471,10250,DENY,1
25132,25444,21,ALLOW,0
474,534,8080,DENY,0
2541,2643,2222,ALLOW,0
5906,6300,8888,DENY,0
16526,16529,27017,DENY,1
5705,5706,8888,DENY,0
56538,56558,8888,DENY,1
28690,28854,3306,DENY,1
15560,15592,25,ALLOW,0
51919,52130,21,DENY,0
38335,38521,2222,DENY,0
7798,8094,5432,ALLOW,0
23138,23284,22,DENY,1
38872,39108,8000,DENY,0
55809,55970,27017,ALLOW,0
22527,22623,8443,ALLOW,1
33800,34022,22,ALLOW,0
28513,28709,443,ALLOW,0
63103,63144,6443,DENY,0
30914,30920,8443,DENY,1
32762,32763,6443,DENY,1
58611,58846,4443,DENY,0
18672,18715,21,DENY,1
32731,32765,5432,DENY,1
12856,12930,25,ALLOW,0
31687,31765,25,ALLOW,0
15004,15559,80,DENY,1
6209,6495,4443,ALLOW,0
53478,53634,1433,ALLOW,1
33600,33781,8888,DENY,1
21764,21831,22,DENY,1
49052,49154,53,ALLOW,1
34169,34301,4443,ALLOW,0
12754,13017,2379,DENY,1
386,772,110,ALLOW,0
26315,26396,53,ALLOW,0
24145,24327,6443,DENY,0
36655,36926,3306,DENY,1
47788,47882,3389,DENY,1
4794,4860,6443,DENY,0
23810,23824,2379,ALLOW,0
17131,17229,5432,ALLOW,0
28333,28856,53,DENY,1
48337,48676,5000,ALLOW,1
9956,10021,80,ALLOW,0
10578,10743,110,DENY,1
32325,32440,1433,DENY,0
46056,46101,27017,DENY,0
36385,36539,22,DENY,0
59093,59139,6379,ALLOW,1
21110,21162,8000,DENY,1
39354,39391,8080,DENY,1
44199,44279,8080,DENY,0
31493,31781,3306,ALLOW,0
44109,44194,8080,ALLOW,0
3064,3142,10250,ALLOW,0
6847,6899,9000,ALLOW,1
31438,31462,5000,ALLOW,0
22243,22676,27017,DENY,1
34998,35051,9000,ALLOW,0
52704,52861,8080,ALLOW,0
57132,57233,3389,ALLOW,1
49595,49784,8888,ALLOW,1
34666,34849,110,ALLOW,0
56084,56191,80,DENY,1
61070,61112,2222,ALLOW,0
30608,30666,10250,DENY,0
25400,25434,8443,DENY,0
10405,10471,1433,ALLOW,0
31200,31226,8000,ALLOW,0
22615,22677,8443,ALLOW,0
12722,12777,8000,ALLOW,1
40590,40696,8080,ALLOW,1
4214,4277,80,ALLOW,1
39462,39463,8000,DENY,0
32286,32324,5432,DENY,1
961,1027,10250,DENY,0
32327,32336,8443,DENY,0
10630,10698,3306,ALLOW,1
15240,15319,27017,ALLOW,1
53435,53475,6443,ALLOW,0
19391,19697,5000,DENY,0
59234,59515,5432,DENY,0
3462,3598,8080,ALLOW,0
9477,9576,8080,DENY,0
12271,12457,9000,DENY,0
10648,11298,6443,DENY,1
29103,29166,3389,DENY,0
34011,34036,5000,DENY,0
50458,50951,9200,ALLOW,0
54852,54972,5432,DENY,0
29673,29762,80,ALLOW,0
31202,31203,8080,ALLOW,0
33777,33955,4443,DENY,0
52095,52204,6379,DENY,0
40922,40993,6379,DENY,1
4252,4683,25,ALLOW,0
41423,41536,27017,DENY,1
39977,40076,1433,DENY,1
41092,41140,25,DENY,0
19770,19780,6443,ALLOW,0
34593,34772,1433,ALLOW,0
30483,30544,25,ALLOW,0
45119,45275,5000,ALLOW,0
10478,10514,1433,ALLOW,0
41573,42282,25,ALLOW,0
5808,5862,3389,ALLOW,0
29956,30050,80,ALLOW,1
54424,54636,3306,DENY,1
1646,1685,9200,ALLOW,0
31415,31525,27017,DENY,1
48022,48027,3389,DENY,0
32354,32645,27017,DENY,1
28315,28799,27017,ALLOW,0
21497,22261,2379,ALLOW,0
34610,34720,25,ALLOW,1
19624,19749,27017,DENY,0
16417,16645,8443,DENY,1
35183,35473,25,ALLOW,1
35642,35657,10250,DENY,0
46577,46704,6443,DENY,0
41514,41768,4443,ALLOW,0
10812,10953,5432,ALLOW,1
33654,34076,5000,ALLOW,0
44142,44204,8443,DENY,0
41770,42088,1433,DENY,0
38694,38764,9200,ALLOW,1
52756,52806,5000,DENY,1
54712,55108,80,ALLOW,0
33250,33378,8443,ALLOW,0
56962,57094,53,DENY,1
54692,54735,3389,ALLOW,1
21913,22004,21,ALLOW,0
37200,37254,1433,ALLOW,0
43454,43795,8080,ALLOW,0
49530,49539,10250,ALLOW,0
55326,55434,8080,DENY,1
47180,47256,53,DENY,1
47381,47523,25,ALLOW,1
47398,47555,8443,DENY,0
14230,14265,443,DENY,0
47464,47609,3306,DENY,0
12407,12959,3306,DENY,1
31044,31075,6379,ALLOW,0
45843,45979,8080,ALLOW,0
44987,45064,3389,DENY,1
36153,36190,8888,ALLOW,0
27344,27484,2222,ALLOW,1
52201,52236,8888,ALLOW,0
49561,49731,443,ALLOW,1
14475,14767,2379,ALLOW,1
41829,41946,8000,ALLOW,0
3503,4016,3306,ALLOW,0
41139,41403,5000,DENY,1
7414,7541,22,DENY,0
10648,10697,3306,ALLOW,1
42537,42568,8000,ALLOW,0
3676,3774,53,ALLOW,0
44857,44954,9000,ALLOW,0
5777,5918,10250,DENY,1
27555,27578,21,ALLOW,0
30531,31073,3306,ALLOW,1
5186,5318,8000,ALLOW,1
6101,6142,9000,DENY,0
43315,43328,443,ALLOW,1
57727,57788,2222,ALLOW,0
30311,30386,8443,ALLOW,0
11816,11908,25,DENY,1
46620,46669,443,ALLOW,0
38951,39029,2222,ALLOW,0
28404,28625,25,ALLOW,0
31571,31580,22,DENY,1
9985,10084,1433,ALLOW,0
16969,16991,8888,DENY,0
6515,6665,53,ALLOW,1
25695,26080,8443,ALLOW,1
36376,36802,6379,DENY,1
16065,16316,8080,DENY,1
22110,22132,5432,ALLOW,1
21023,21516,9200,ALLOW,0
17160,17199,443,DENY,0
17131,17223,8000,DENY,0
25399,25670,2379,DENY,1
40123,40204,2379,ALLOW,0
10376,10763,80,ALLOW,1
5675,6298,22,ALLOW,0
9779,9832,443,DENY,0
63345,63346,443,ALLOW,0
26909,26989,443,ALLOW,0
28847,29355,25,ALLOW,0
13646,14034,2379,ALLOW,0
36839,36871,10250,DENY,1
5046,5095,10250,DENY,1
34846,34890,22,ALLOW,1
10697,10826,27017,ALLOW,1
57729,57777,2222,DENY,1
29421,29481,10250,DENY,0
40112,40351,27017,DENY,0
40860,40972,443,DENY,1
38000,38132,5432,DENY,0
17604,17632,80,DENY,1
34683,34842,5432,DENY,0
41723,42047,21,ALLOW,1
38760,38883,80,DENY,0
20291,20313,21,ALLOW,0
41492,41945,9200,ALLOW,0
34218,34592,8443,ALLOW,0
38119,38308,2222,ALLOW,0
41847,42120,10250,ALLOW,1
37903,37967,1433,ALLOW,0
17424,18003,80,DENY,1
19007,19188,27017,DENY,1
30697,30872,3389,ALLOW,1
54670,54726,8080,DENY,1
64980,64995,21,ALLOW,0
23615,24063,22,ALLOW,0
53609,54000,8080,DENY,1
12913,12962,9200,DENY,1
35593,35664,22,ALLOW,0
20708,20784,8000,DENY,0
34796,34867,6379,DENY,1
11475,11556,80,ALLOW,0
27044,27100,2379,ALLOW,0
14888,14983,4443,DENY,0
59490,59602,22,DENY,1
2461,2889,25,ALLOW,0
23335,23469,2379,ALLOW,1
48119,48269,2379,DENY,1
17178,17197,6379,DENY,1
40888,41001,5432,ALLOW,1
47263,47435,8888,ALLOW,1
52548,52587,8000,DENY,1
30191,30249,5432,DENY,0
47438,47463,6379,ALLOW,0
40161,40239,22,ALLOW,1
4673,4722,9200,DENY,1
6326,6373,6443,ALLOW,0
32585,32688,110,DENY,0
59188,59303,110,ALLOW,0
7561,7629,3389,ALLOW,0
27399,27465,1433,DENY,1
6515,6589,9200,DENY,0
60218,60249,4443,ALLOW,0
5376,5944,2222,ALLOW,1
27412,27484,27017,DENY,1
55997,56022,443,ALLOW,0
39288,39677,110,ALLOW,0
11368,11427,8443,DENY,1
57606,57747,443,DENY,0
14550,14701,22,ALLOW,0
11161,11283,22,ALLOW,1
39247,39533,8888,ALLOW,0
5826,6239,8443,ALLOW,0
12891,13224,3389,ALLOW,0
47090,47119,8000,DENY,0
54772,54800,25,ALLOW,0
40566,40816,6379,ALLOW,1
47671,48335,27017,ALLOW,0
41959,41990,443,DENY,0
4561,4615,5432,DENY,0
37672,37817,3306,ALLOW,1
27956,28289,5000,ALLOW,1
58385,58809,6443,ALLOW,0
36928,36951,21,DENY,0
24301,24573,9200,ALLOW,0
23265,23299,27017,DENY,1
43648,44007,6443,ALLOW,0
11278,11610,27017,DENY,0
19815,19936,22,DENY,1
46012,46065,53,ALLOW,0
5564,5589,6379,DENY,0
54271,54422,21,DENY,1
25484,25565,8000,DENY,1
34730,35175,8443,DENY,0
8719,8785,5432,DENY,0
26408,26422,443,DENY,1
25459,25531,8080,DENY,0
13849,13910,6379,DENY,1
1433,2184,8080,ALLOW,0
30657,30730,2379,DENY,0
39357,39435,4443,ALLOW,0
26155,26202,1433,DENY,0
41757,42168,110,ALLOW,0
5655,6021,6443,ALLOW,0
275,462,5432,ALLOW,0
51491,51535,80,DENY,1
59933,59943,443,ALLOW,0
45168,45258,5000,DENY,1
50223,50588,10250,DENY,1
11131,11174,110,ALLOW,0
26675,26732,2222,DENY,0
15500,15547,25,DENY,0
30860,31269,10250,ALLOW,0
25479,25621,8000,ALLOW,1
27002,27279,3389,DENY,1
4394,4610,4443,DENY,0
27535,27595,21,DENY,1
34026,34626,3389,ALLOW,0
18046,18227,53,ALLOW,1
7827,8000,3389,ALLOW,0
13842,13973,22,DENY,1
50699,50722,10250,ALLOW,1
29426,29436,21,DENY,1
53081,53141,9000,DENY,1
53556,53986,8080,ALLOW,0
19096,19138,110,ALLOW,0
40030,40186,6443,DENY,1
16101,16228,21,ALLOW,1
19898,19999,27017,ALLOW,1
22324,22596,6443,DENY,0
39547,39654,3389,ALLOW,0
20594,20595,6379,DENY,0
3848,4113,110,ALLOW,0
6736,6916,53,DENY,1
21440,21941,443,DENY,1
31933,32227,9200,ALLOW,1
5225,5378,21,ALLOW,1
48008,48125,8080,ALLOW,0
43392,43642,443,ALLOW,1
5204,5604,21,ALLOW,0
58546,58868,6443,ALLOW,0
13205,13237,21,ALLOW,0
6625,7408,3306,ALLOW,0
17801,18045,9200,ALLOW,0
10496,10622,5432,ALLOW,1
6159,6504,5000,ALLOW,1
32159,32240,6443,ALLOW,0
1760,1909,2379,ALLOW,1
23270,23289,3389,DENY,0
7045,7116,2222,ALLOW,1
42326,42357,110,DENY,1
49093,49238,25,ALLOW,1
4676,4735,9200,DENY,1
58175,58311,4443,ALLOW,0
3377,3433,8080,ALLOW,0
16772,16863,8080,ALLOW,0
53128,53218,9200,ALLOW,1
8861,9010,2222,DENY,1
59103,59197,8888,DENY,0
47069,47104,21,ALLOW,0
22326,22567,9000,ALLOW,1
33336,33392,3306,ALLOW,0
8615,8665,443,ALLOW,0
26226,26334,5000,ALLOW,1
2498,2929,4443,DENY,0
7638,7674,53,DENY,0
45981,46087,3389,ALLOW,0
48200,48265,2379,DENY,0
28940,29056,27017,DENY,0
9885,9901,21,DENY,0
13398,13524,21,ALLOW,1
19778,19982,8443,DENY,1
57840,57933,110,DENY,1
50250,50681,4443,ALLOW,0
39877,39917,3306,DENY,1
15325,15676,5432,ALLOW,0
4134,4212,8443,ALLOW,1
30450,30791,6443,ALLOW,0
48973,49130,10250,DENY,0
58607,58854,9000,ALLOW,0
26003,26368,10250,DENY,0
11394,11512,5432,ALLOW,0
19355,19391,6443,DENY,0
20061,20091,21,DENY,0
49103,49259,53,DENY,0
45318,45319,8080,ALLOW,0
28483,28595,110,ALLOW,0
45097,45163,22,DENY,0
58674,58851,8888,ALLOW,0
21270,21617,53,DENY,0
39010,39104,6379,ALLOW,0
43541,43605,27017,DENY,1
44892,45039,5000,DENY,0
19723,19925,8080,ALLOW,0
7270,7285,22,DENY,1
49025,49112,5000,ALLOW,0
3536,3596,8443,ALLOW,1
35666,35733,4443,DENY,1
30535,30640,6443,ALLOW,1
21305,21558,53,ALLOW,1
23087,23177,5432,DENY,1
17293,17361,21,ALLOW,0
29973,30284,3306,ALLOW,1
14763,15183,3389,ALLOW,0
34852,35619,25,ALLOW,0
34617,34704,6443,DENY,0
13896,14142,443,ALLOW,1
28287,28950,53,ALLOW,0
1356,1363,2379,ALLOW,0
40061,40180,1433,ALLOW,1
29131,29224,8443,ALLOW,0
916,969,53,DENY,0
32289,32317,5432,ALLOW,0
3782,3880,21,DENY,0
59351,59397,21,DENY,0
38470,38656,6379,ALLOW,1
57475,57557,8443,DENY,1
17621,17647,9200,ALLOW,0
6523,6548,8000,ALLOW,0
35025,35157,10250,ALLOW,0
47028,47367,8888,ALLOW,0
57197,57606,80,ALLOW,1
2429,2482,25,ALLOW,1
13788,13845,443,ALLOW,0
62861,62916,22,DENY,0
49535,49662,5000,DENY,1
37480,37724,3389,DENY,1
37475,37563,4443,DENY,0
44613,44740,21,ALLOW,1
28871,29048,9000,ALLOW,1
44469,44888,21,DENY,0
27464,27567,80,DENY,0
56533,56685,3306,ALLOW,0
27242,27248,4443,ALLOW,1
17606,17646,80,DENY,1
7137,7294,9200,DENY,0
3026,3068,25,ALLOW,1
50431,50525,21,ALLOW,1
2817,2895,8000,ALLOW,0
58722,58767,53,ALLOW,1
3969,4086,2379,DENY,1
53880,54076,2379,DENY,1
2876,2959,1433,DENY,0
25676,26123,8443,DENY,0
32676,32776,5432,DENY,0
48599,48604,21,ALLOW,0
17552,17574,443,ALLOW,1
38720,38757,9200,DENY,0
41628,41960,21,ALLOW,1
46431,46497,6443,DENY,1
5185,5319,8000,ALLOW,1
26756,27230,3389,ALLOW,1
24201,24239,1433,ALLOW,0
31648,31822,3306,DENY,0
41010,41070,53,ALLOW,0
24159,24456,8000,DENY,1
9013,9322,8000,DENY,1
19466,19734,25,ALLOW,0
6256,6293,5000,DENY,1
58797,59170,8443,DENY,0
10400,10598,9200,DENY,1
26415,26430,443,DENY,1
1365,1577,5000,ALLOW,1
9841,10220,25,ALLOW,1
44990,45091,3389,DENY,1
35386,35417,5432,ALLOW,0
50237,50407,6443,DENY,0
44972,44990,443,ALLOW,0
57606,57771,8080,ALLOW,0
26832,26987,8080,ALLOW,0
46469,46699,22,ALLOW,1
12059,12094,6379,DENY,0
11537,11591,3306,DENY,1
48821,48969,8080,ALLOW,0
52759,52920,8443,DENY,1
18925,18987,2379,ALLOW,0
31635,31708,4443,ALLOW,0
46742,46745,80,DENY,0
8473,8501,8080,DENY,0
26109,26477,4443,DENY,1
52756,52799,5000,DENY,1
56122,56296,22,ALLOW,0
30370,30453,5000,DENY,1
6127,6242,3306,DENY,1
30497,30781,1433,ALLOW,1
53532,53637,443,DENY,1
12771,12791,6379,ALLOW,0
36853,37049,2222,DENY,0
30496,30531,25,DENY,1
54868,55048,2379,DENY,0
21146,21239,1433,ALLOW,1
40236,40555,9000,DENY,1
34732,34862,10250,ALLOW,0
6439,6662,1433,ALLOW,0
34739,35242,8888,ALLOW,1
44160,44608,9200,ALLOW,0
26674,26860,53,DENY,0
7031,7140,2222,ALLOW,1
2346,2433,443,ALLOW,1
9852,9869,21,DENY,0
13580,13646,8080,ALLOW,0
42963,43041,10250,DENY,0
24551,24626,9200,DENY,0
13042,13241,6379,DENY,1
28026,28250,443,ALLOW,0
16158,16331,9200,DENY,0
21259,21433,25,ALLOW,0
5777,5934,10250,DENY,1
25116,25650,6443,ALLOW,1
40497,40615,25,ALLOW,1
12185,12283,2379,DENY,1
24218,24315,2222,ALLOW,1
12891,12910,6379,DENY,0
25773,26007,53,DENY,1
22017,22041,443,ALLOW,0
23847,23957,9000,ALLOW,1
46397,46473,9200,ALLOW,0
49786,49820,1433,DENY,0
9700,9703,9200,DENY,1
20550,20686,6443,ALLOW,0
5350,5637,110,ALLOW,0
26344,26530,8888,DENY,0
32312,32457,5432,ALLOW,0
37980,38033,8888,DENY,0
27169,27184,5432,DENY,0
35713,36057,8000,ALLOW,0
6598,6650,2379,DENY,0
50600,50713,9000,DENY,1
28625,29100,53,ALLOW,0
35418,35600,27017,ALLOW,0
4108,4257,6443,ALLOW,0
12438,12505,5000,DENY,0
39702,39720,25,DENY,1
36340,36639,25,ALLOW,0
58364,58864,4443,ALLOW,0
27264,27341,10250,ALLOW,1
52834,52944,8888,DENY,1
43518,43820,110,ALLOW,0
43738,43965,6443,DENY,0
25336,25409,10250,ALLOW,0
28065,28340,8080,DENY,1
51037,51277,3306,DENY,0
1569,1609,6379,DENY,0
54297,54317,1433,ALLOW,1
6942,7083,80,ALLOW,1
41439,41484,27017,ALLOW,1
16190,16632,53,ALLOW,0
41310,41879,27017,DENY,1
9031,9094,1433,ALLOW,0
53339,53673,5432,DENY,0
39611,39676,5000,DENY,1
7437,7476,9000,ALLOW,1
35705,35809,8443,DENY,1
43587,43701,443,ALLOW,1
13392,13445,2222,DENY,0
55118,55168,6443,DENY,0
52334,52376,9000,DENY,1
46252,46270,2222,ALLOW,0
6814,6917,8080,DENY,1
5035,5093,10250,DENY,1
40522,40719,8000,ALLOW,0
6569,6903,8888,ALLOW,0
16380,17034,1433,ALLOW,1
8316,8413,3389,ALLOW,0
54817,54946,9000,ALLOW,1
18885,18956,8443,ALLOW,0
9967,10086,6379,ALLOW,1
25646,25738,6443,DENY,1
27606,27684,21,ALLOW,0
8266,8354,27017,ALLOW,0
33859,34037,80,ALLOW,1
6795,7031,6379,ALLOW,1
18768,18790,80,DENY,0
447,862,22,ALLOW,1
56662,56739,110,DENY,1
34604,34654,53,DENY,1
53626,53668,21,DENY,0
17435,17598,6443,DENY,1
47360,47491,9200,ALLOW,1
33942,33962,8888,ALLOW,0
64679,64706,6443,DENY,0
34197,34774,27017,ALLOW,1
17386,17481,3306,ALLOW,1
48207,48380,25,ALLOW,1
49007,49022,8080,ALLOW,1
18773,18834,8443,DENY,0
56950,57053,10250,ALLOW,0
42961,43519,25,DENY,1
11283,11616,3306,ALLOW,0
54358,54571,25,ALLOW,0
818,894,53,ALLOW,0
42016,42125,443,ALLOW,0
21955,22400,1433,ALLOW,0
12850,13116,110,ALLOW,0
58600,58740,3389,DENY,0
41050,41218,5432,ALLOW,0
3049,3618,8000,ALLOW,0
37775,37963,6443,DENY,0
17863,18207,9000,DENY,1
41684,41861,4443,ALLOW,0
17939,18028,2222,DENY,0
49733,50284,5432,ALLOW,1
23033,23078,8888,ALLOW,0
45345,45424,8888,ALLOW,0
33172,33414,3306,DENY,1
23640,23672,53,DENY,0
37553,37947,9200,ALLOW,0
6639,6667,4443,ALLOW,0
26110,26182,6379,ALLOW,0
41769,42200,10250,DENY,0
49215,49230,8888,ALLOW,0
3862,3919,8888,DENY,0
37873,37947,8888,DENY,0
20100,20135,3306,DENY,0
53647,53722,25,ALLOW,0
40596,40782,8443,DENY,0
44732,45205,3306,DENY,0
55288,55308,53,ALLOW,0
40672,40705,6443,ALLOW,1
49453,49976,10250,ALLOW,1
60011,60361,5432,DENY,1
43733,43914,6443,DENY,1
47244,47343,21,DENY,0
21137,21364,8888,ALLOW,1
4635,4679,443,DENY,1
24932,25319,9200,DENY,1
3014,3208,443,ALLOW,1
15740,15807,22,DENY,1
39547,39633,6443,ALLOW,0
6570,6895,8888,DENY,1
40963,41183,8888,DENY,0
49630,49842,25,DENY,0
19377,19705,53,ALLOW,0
31656,31843,3306,DENY,1
51242,51334,6379,DENY,1
34125,34206,8888,ALLOW,1
3486,3983,3306,DENY,0
40864,40960,8443,DENY,0
59753,59844,8888,DENY,1
32772,32790,10250,ALLOW,0
24552,24714,8080,ALLOW,0
23092,23144,5432,DENY,1
27289,27360,6379,DENY,0
20496,20528,3389,ALLOW,0
3002,3452,25,DENY,1
49625,49791,25,ALLOW,1
11211,11397,10250,ALLOW,0
40403,40544,22,ALLOW,1
49950,50051,25,DENY,1
35161,35597,9200,ALLOW,0
34819,35096,4443,ALLOW,0
15066,15250,443,DENY,1
57360,57483,53,DENY,0
24028,24086,8000,DENY,0
43450,43468,110,DENY,0
57293,57584,8080,ALLOW,1
31172,31253,2222,DENY,1
19845,19928,22,DENY,1
42104,42267,80,DENY,1
40676,40728,6443,ALLOW,1
50769,50946,5000,DENY,0
12970,13280,6379,ALLOW,0
